Summary,Issue id,Issue Type,Project description,Story points,Epic Name,Labels,Priority,Reporter,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Epic Link
Brand - FB/IG - {{partner_long}},11,Story,"*Note:* Instagram is only an issue if the partner has retargeting enabled
h1. User Stories
_fill out here when known_

h1. Acceptance Criteria
_fill out here when known_

h1. Ad Designs
h2. FB/IG ad without frame
_add image here_

h2. Facebook ad with Frame
_add image here_

h2. Instagram ad with Frame
_ad image here_

h1. Assets
*link to assets:* {{{asset_link}}}

h2. Images
_add any required images for ads here_

h2. Generated YML Files
_add any generated YML Files here_",,,CustomizeAd Onboarding,Medium,{{reporter}},20,,,{{partner}}
Brand - Mobile - {{partner_long}},12,Story,"*Note:* This version of the ad will only display for zip and sphere, not for brand radius or retargeting
h1. User Stories
_fill out here when known_

h1. Acceptance Criteria
_fill out here when known_

h1. Ad Designs
h2. FB/IG ad without frame
_add image here_

h2. Facebook ad with Frame
_add image here_

h2. Instagram ad with Frame
_ad image here_

h1. Assets
*link to assets:* {{{asset_link}}}

h2. Images
_add any required images for ads here_

h2. Generated YML Files
_add any generated YML Files here_",,,CustomizeAd Onboarding,Medium,{{reporter}},20,,,{{partner}}
Brand - Banner - {{partner_long}},13,Story,"*Note:* This version of the ad will only display for zip and sphere, not for brand radius or retargeting
h1. User Stories
_fill out here when known_

h1. Acceptance Criteria
_fill out here when known_

h1. Ad Designs
h2. FB/IG ad without frame
_add image here_

h2. Facebook ad with Frame
_add image here_

h2. Instagram ad with Frame
_ad image here_

h1. Assets
*link to assets:* {{{asset_link}}}

h2. Images
_add any required images for ads here_

h2. Generated YML Files
_add any generated YML Files here_",,,CustomizeAd Onboarding,Medium,{{reporter}},20,,,{{partner}}
Turn on compliance for {{partner_long}},14,Story,"h1. User Stories
As a partner, I want to verify that my agents� ads meet brand standards
As a partner, I want to verify that my agents� ads meet compliance standards
As a partner, I expect automated ads will match my standards and do not need to be approved

h1. Acceptance Criteria
all non-automated ads go through the �pending_compliance_approval� step before getting to �pending_approval�

h1. Implementation Details
set partner.compliance_approval_required = true",0.5,,Compliance Onboarding,Medium,{{reporter}},,,,{{partner}}
Add compliance notification email for {{partner_long}},15,Story,"h1. User Stories
As a partner, I want to receive a notification when a new ad is created
h1. Acceptance Criteria
When an ad is edited or purchased via funnel, a notification is sent to the email listed in the section below

h1. Notification Email
_include email to listserve where we should send notifications_
*Note:* currently only one email is allowed, so it is preferred this go to a listserv",0.5,,Compliance Onboarding,Medium,{{reporter}},,,,{{partner}}
Add compliance approval to designated {{partner_long}} accounts,16,Story,"h1. User Stories
As an external approver, I want access to the dashboard to approve ads

h1. Acceptance Criteria
find or create users for the email addresses and names listed below
if the user needs to be created, send them a reset password email
ensure user has external_approver set to true
ensure user is an api user (bitflag 2^3)

h1. Approver emails  
_include emails and names of any people that will need access to the compliance dashboard_",0.5,,Compliance Onboarding,Medium,{{reporter}},,,,{{partner}}
Add compliance rejection options for {{partner_long}},17,Story,"h1. User Stories
As a partner, I want to be able to reject ads if they don�t meet my standards with an explanitory code

h1. Acceptance Criteria
allow partners to select from listed options when rejecting an ad campaign

h1. Rejection Options
_options we�ve added in the past:_
_Request Revision_
_Reject for Insufficient Budget_

h1. Implementation details
Add the above options to the compliance_rejection_options table.",0.5,,Compliance Onboarding,Medium,{{reporter}},,,,{{partner}}
Configure listing and agent feeds for {{partner_long}},18,Story,"h1. Feed Information
_Feed information will be added below once available_

h1. Change Recording
Please add change recorders for the following fields so that the retargeting process will run on the changes:
_default required fields included, update if necessary_
* Headshot
* First Name
* Last Name
* Phone Number
* City
* State
* Email
* URL

h1. Background
for a walkthrough of how this is done, please consult the confluence doc: [Partner Data Feeds|https://adwerx.atlassian.net/wiki/spaces/EN/pages/6127626]
",2,,ListingAgentFeed Onboarding,Medium,{{reporter}},20,,,{{partner}}
Integrate seller information for {{partner_long}},19,Story,"h2. Goal
- Integrate {{partner_long}} seller info account

h2. Account info
_include details when known_
*Service*: Dotloop/Skyslope/Docusign
*Username*: _fill in for skyslope only_
*Password*: _fill in for skyslope only_

h1. Background
for info on how to do this integration: [Skyslope/Dotloop Integration Guide|https://adwerx.atlassian.net/wiki/spaces/EN/pages/500563969]",0.5,,SellerFeed Onboarding,Medium,{{reporter}},,,,{{partner}}
Soft launch portal for {{partner_long}} by XX/XX,20,Story,"h1. Background
For a walkthrough and standard notes, please see the confluence docs: 
[ELF Soft Launch|https://adwerx.atlassian.net/wiki/spaces/EN/pages/225083444]
[Testing and soft launching Enterprise Retargeting|https://adwerx.atlassian.net/wiki/spaces/EN/pages/826277908]",0.5,,SoftLaunch Onboarding,Medium,{{reporter}},21,,,{{partner}}
Public launch portal for {{partner_long}} on XX/XX,21,Story,"*look back date*: _1 week lookback default_

h1. Background
For a walkthrough and standard notes, please see the confluence doc: 
[Public Launch|https://adwerx.atlassian.net/wiki/spaces/EN/pages/284655775]
[ELF Launch|https://adwerx.atlassian.net/wiki/spaces/EN/pages/457179142]
[Launching Retargeting Automation for a Partner|https://adwerx.atlassian.net/wiki/spaces/EN/pages/825589779]",0.5,,PublicLaunch Onboarding,Medium,{{reporter}},,,,{{partner}}
